;Setname;Set;Main;Second
2456;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Geschichte der Åbrigen Welt;dnb-appr:wv:sg990;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Geschichte der Åbrigen Welt
2457;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Belletristik;dnb-appr:wv:sgB;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Belletristik
2458;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Kinder- und Jugendliteratur;dnb-appr:wv:sgK;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Kinder- und Jugendliteratur
2459;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - SchulbÅcher;dnb-appr:wv:sgS;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);SchulbÅcher
2460;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Abgeschlossene Verîffentlichungen;dnb-appr:wv:sgY;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Abgeschlossene Verîffentlichungen
2461;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - Berichtigungen;dnb-appr:wv:sgZ;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);Berichtigungen
2462;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung) - BestandssÑtze;dnb-appr:wv:holdings;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung);BestandssÑtze
2463;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;dnb-appr:wv:reiheA;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels
2464;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Allgemeines, Informationswissenschaft;dnb-appr:wv:reiheA:sg0;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Allgemeines, Informationswissenschaft
2465;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Allgemeines, Wissenschaft;dnb-appr:wv:reiheA:sg000;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Allgemeines, Wissenschaft
2466;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Informatik;dnb-appr:wv:reiheA:sg004;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Informatik
2467;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Bibliografien;dnb-appr:wv:reiheA:sg010;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Bibliografien
2468;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Bibliotheks- und Informationswissenschaft;dnb-appr:wv:reiheA:sg020;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Bibliotheks- und Informationswissenschaft
2469;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - EnzyklopÑdien;dnb-appr:wv:reiheA:sg030;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;EnzyklopÑdien
2470;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Zeitschriften, fortlaufende Sammelwerke;dnb-appr:wv:reiheA:sg050;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Zeitschriften, fortlaufende Sammelwerke
2471;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Organisationen, Museumswissenschaft;dnb-appr:wv:reiheA:sg060;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Organisationen, Museumswissenschaft
2472;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Nachrichtenmedien, Journalismus, Verlagswesen;dnb-appr:wv:reiheA:sg070;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Nachrichtenmedien, Journalismus, Verlagswesen
2473;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Allgemeine Sammelwerke;dnb-appr:wv:reiheA:sg080;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Allgemeine Sammelwerke
2474;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Handschriften, seltene BÅcher;dnb-appr:wv:reiheA:sg090;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Handschriften, seltene BÅcher
2475;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Philosphie und Psychologie;dnb-appr:wv:reiheA:sg1;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Philosphie und Psychologie
2476;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Philosophie;dnb-appr:wv:reiheA:sg100;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Philosophie
2477;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Parapsychologie, Okkultismus;dnb-appr:wv:reiheA:sg130;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Parapsychologie, Okkultismus
2478;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Psychologie;dnb-appr:wv:reiheA:sg150;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Psychologie
2479;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Religion;dnb-appr:wv:reiheA:sg2;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Religion
2480;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Religion, Religionsphilosophie;dnb-appr:wv:reiheA:sg200;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Religion, Religionsphilosophie
2481;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Bibel;dnb-appr:wv:reiheA:sg220;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Bibel
2482;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Theologie, Christentum;dnb-appr:wv:reiheA:sg230;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Theologie, Christentum
2483;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Andere Religionen;dnb-appr:wv:reiheA:sg290;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Andere Religionen
2484;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Sozialwissenschaften;dnb-appr:wv:reiheA:sg3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Sozialwissenschaften
2485;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Sozialwissenschaften, Soziologie;dnb-appr:wv:reiheA:sg300;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Sozialwissenschaften, Soziologie
2486;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Statistik;dnb-appr:wv:reiheA:sg310;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Statistik
2487;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Politik;dnb-appr:wv:reiheA:sg320;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Politik
2488;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Wirtschaft, Management;dnb-appr:wv:reiheA:sg330;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Wirtschaft, Management
2489;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - NatÅrliche Ressourcen, Energie und Umwelt;dnb-appr:wv:reiheA:sg333.7;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;NatÅrliche Ressourcen, Energie und Umwelt
2490;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Recht;dnb-appr:wv:reiheA:sg340;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Recht
2491;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - ôffentliche Verwaltung;dnb-appr:wv:reiheA:sg350;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;ôffentliche Verwaltung
2492;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - MilitÑr;dnb-appr:wv:reiheA:sg355;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;MilitÑr
2493;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Soziale Probleme, Sozialarbeit;dnb-appr:wv:reiheA:sg360;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Soziale Probleme, Sozialarbeit
2494;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Erziehung, Schul- und Bildungswesen;dnb-appr:wv:reiheA:sg370;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Erziehung, Schul- und Bildungswesen
2495;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Handel, Kommunikation, Verkehr;dnb-appr:wv:reiheA:sg380;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Handel, Kommunikation, Verkehr
2496;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Ethnologie;dnb-appr:wv:reiheA:sg390;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Ethnologie
2497;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Literatur und Sprache;dnb-appr:wv:reiheA:sg4;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Literatur und Sprache
2498;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Sprache, Linguistik;dnb-appr:wv:reiheA:sg400;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Sprache, Linguistik
2499;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Englisch;dnb-appr:wv:reiheA:sg420;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Englisch
2500;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Deutsch;dnb-appr:wv:reiheA:sg430;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Deutsch
2501;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Andere germanische Sprachen;dnb-appr:wv:reiheA:sg439;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Andere germanische Sprachen
2502;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Franzîsisch, romanische Sprachen allgemein;dnb-appr:wv:reiheA:sg440;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Franzîsisch, romanische Sprachen allgemein
2503;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Italienisch, RumÑnisch, RÑtoromanisch;dnb-appr:wv:reiheA:sg450;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Italienisch, RumÑnisch, RÑtoromanisch
2504;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Spanisch, Portugiesisch;dnb-appr:wv:reiheA:sg460;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Spanisch, Portugiesisch
2505;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Latein;dnb-appr:wv:reiheA:sg470;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Latein
2506;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Griechisch;dnb-appr:wv:reiheA:sg480;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Griechisch
2507;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Andere Sprachen;dnb-appr:wv:reiheA:sg490;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Andere Sprachen
2508;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Slawische Sprachen;dnb-appr:wv:reiheA:sg491.8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Slawische Sprachen
2509;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Naturwissenschaften und Mathematik;dnb-appr:wv:reiheA:sg5;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Naturwissenschaften und Mathematik
2510;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Naturwissenschaften;dnb-appr:wv:reiheA:sg500;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Naturwissenschaften
2511;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Mathematik;dnb-appr:wv:reiheA:sg510;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Mathematik
2512;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Astronomie, Kartographie;dnb-appr:wv:reiheA:sg520;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Astronomie, Kartographie
2513;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Physik;dnb-appr:wv:reiheA:sg530;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Physik
2514;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Chemie;dnb-appr:wv:reiheA:sg540;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Chemie
2515;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Geowissenschaften;dnb-appr:wv:reiheA:sg550;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Geowissenschaften
2516;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - PalÑontologie;dnb-appr:wv:reiheA:sg560;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;PalÑontologie
